tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
506,4/30/2016 16:36:58,4/30/2016 16:45:25,444,Broadway & W 24 St,40.7423543,-73.98915076,528,2 Ave & E 31 St,40.74290902,-73.97706058,18151,Subscriber,1974.0,1
1242,4/30/2016 16:36:59,4/30/2016 16:57:42,225,W 14 St & The High Line,40.74195138,-74.00803013,426,West St & Chambers St,40.71754834,-74.01322069,18410,Customer,,0
1830,4/30/2016 16:37:01,4/30/2016 17:07:32,3098,Leonard St & Bayard St,40.71928,-73.94861,317,E 6 St & Avenue B,40.72453734,-73.98185424,20214,Subscriber,1985.0,2
3699,4/30/2016 16:37:03,4/30/2016 17:38:42,291,Madison St & Montgomery St,40.713126,-73.984844,458,11 Ave & W 27 St,40.751396,-74.005226,22425,Customer,,0
440,4/30/2016 16:37:05,4/30/2016 16:44:26,167,E 39 St & 3 Ave,40.7489006,-73.97604882,503,E 20 St & Park Ave,40.73827428,-73.98751968,23699,Subscriber,1987.0,1
1073,4/30/2016 16:37:02,4/30/2016 16:54:55,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,418,Front St & Gold St,40.70224,-73.982578,20609,Customer,,0
1329,4/30/2016 16:37:03,4/30/2016 16:59:13,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,330,Reade St & Broadway,40.71450451,-74.00562789,20809,Customer,,0
478,4/30/2016 16:37:05,4/30/2016 16:45:03,278,Concord St & Bridge St,40.69766564,-73.98476437,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,21320,Customer,,0
642,4/30/2016 16:37:06,4/30/2016 16:47:49,3142,1 Ave & E 62 St,40.7612274,-73.96094022,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,15962,Subscriber,1970.0,1
141,4/30/2016 16:37:07,4/30/2016 16:39:29,497,E 17 St & Broadway,40.73704984,-73.99009296,475,E 16 St & Irving Pl,40.73524276,-73.98758561,24340,Subscriber,1984.0,1
1406,4/30/2016 16:37:08,4/30/2016 17:00:35,3092,Berry St & N 8 St,40.7190095,-73.95852515,3115,India St & Manhattan Ave,40.73232194,-73.9550858,23731,Customer,,0
2698,4/30/2016 16:37:10,4/30/2016 17:22:08,423,W 54 St & 9 Ave,40.76584941,-73.98690506,529,W 42 St & 8 Ave,40.7575699,-73.99098507,15335,Subscriber,1956.0,1
2114,4/30/2016 16:37:09,4/30/2016 17:12:24,3143,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,457,Broadway & W 58 St,40.76695317,-73.98169333,17877,Customer,,0
1318,4/30/2016 16:37:10,4/30/2016 16:59:09,3141,1 Ave & E 68 St,40.76500525,-73.95818491,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,15978,Subscriber,1981.0,1
1034,4/30/2016 16:37:10,4/30/2016 16:54:25,427,Bus Slip & State St,40.701907,-74.013942,355,Bayard St & Baxter St,40.71602118,-73.99974372,16782,Customer,,0
1030,4/30/2016 16:37:10,4/30/2016 16:54:21,427,Bus Slip & State St,40.701907,-74.013942,355,Bayard St & Baxter St,40.71602118,-73.99974372,15310,Customer,,0
164,4/30/2016 16:37:11,4/30/2016 16:39:55,224,Spruce St & Nassau St,40.71146364,-74.00552427,224,Spruce St & Nassau St,40.71146364,-74.00552427,24848,Customer,,0
1302,4/30/2016 16:37:11,4/30/2016 16:58:53,3092,Berry St & N 8 St,40.7190095,-73.95852515,410,Suffolk St & Stanton St,40.72066442,-73.98517977,22177,Subscriber,1982.0,1
1304,4/30/2016 16:37:10,4/30/2016 16:58:55,328,Watts St & Greenwich St,40.72405549,-74.00965965,508,W 46 St & 11 Ave,40.76341379,-73.99667444,17846,Customer,,0
356,4/30/2016 16:37:09,4/30/2016 16:43:06,3153,E 71 St & 2 Ave,40.76817546742245,-73.95910263061523,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,20637,Subscriber,1955.0,1
1657,4/30/2016 16:37:12,4/30/2016 17:04:50,238,Bank St & Washington St,40.7361967,-74.00859207,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,22188,Subscriber,1980.0,1
2285,4/30/2016 16:37:12,4/30/2016 17:15:17,483,E 12 St & 3 Ave,40.73223272,-73.98889957,358,Christopher St & Greenwich St,40.73291553,-74.00711384,19995,Subscriber,1970.0,2
